Count,Name,Position X,Position Y,Layer,File Name,Title,Point Link
1,GFX_LINKED-11999,674.5000,-438.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M4-30-0
1,GFX_GROUP-11999,674.5000,-438.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-8905,682.5000,-98.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-11996,636.5000,-98.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-8905,682.5000,-98.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M4-13-0
1,GFX_GROUP-44430,733.5000,-429.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-44448,767.5000,-429.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M4-34-0
1,GFX_LINKED-44430,733.5000,-429.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M4-33-0
1,GFX_LINKED-12002,700.5000,-458.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M4-31-0
1,GFX_GROUP-12002,700.5000,-458.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-11996,636.5000,-98.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M4-12-0
1,GFX_GROUP-11123,2216.0000,90.0000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-8911,636.5000,-18.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M4-9-0
1,GFX_LINKED-11123,2216.0000,90.0000,TAMPER SWITCH,X-5TH FLOOR.dwg,,3:M5-93-0
1,GFX_LINKED-3396,2488.5000,21.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M5-72-0
1,GFX_GROUP-3396,2488.5000,21.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-11969,660.5000,-40.5000,SMOKE DETECTOR,X-5TH FLOOR.dwg,,3:M4-11-0
1,GFX_GROUP-11969,660.5000,-40.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-8899,682.5000,-18.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-8911,636.5000,-18.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-8899,682.5000,-18.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M4-10-0
1,GFX_GROUP-44460,1127.5000,-149.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-44436,1238.5000,-284.5000,SMOKE DETECTOR,X-5TH FLOOR.dwg,,3:M4-24-0
1,GFX_LINKED-44460,1127.5000,-149.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M4-22-0
1,GFX_LINKED-44466,1067.5000,-209.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M4-21-0
1,GFX_GROUP-44466,1067.5000,-209.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-12590,1165.5000,-350.5000,SMOKE DETECTOR,X-5TH FLOOR.dwg,,3:M4-53-0
1,GFX_GROUP-12590,1165.5000,-350.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-35512,1287.0000,-332.0000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-44436,1238.5000,-284.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-35512,1287.0000,-332.0000,PULL STATION,X-5TH FLOOR.dwg,,3:M4-27-0
1,GFX_GROUP-44484,1120.5000,-205.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-44454,927.5000,-289.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M4-17-0
1,GFX_GROUP-44454,927.5000,-289.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-44424,738.5000,-460.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-44448,767.5000,-429.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-44424,738.5000,-460.5000,SMOKE DETECTOR,X-5TH FLOOR.dwg,,3:M4-32-0
1,GFX_GROUP-44478,1107.5000,-249.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-44484,1120.5000,-205.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M4-20-0
1,GFX_LINKED-44478,1107.5000,-249.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M4-19-0
1,GFX_LINKED-22730,927.5000,-329.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M4-16-0
1,GFX_GROUP-22730,927.5000,-329.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-12950,2488.5000,61.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-35407,2032.5000,21.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M5-59-0
1,GFX_GROUP-35407,2032.5000,21.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-35413,2032.5000,54.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-35401,2032.5000,81.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-35413,2032.5000,54.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M5-61-0
1,GFX_LINKED-12962,2210.5000,201.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M5-64-0
1,GFX_GROUP-12962,2210.5000,201.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-12911,2154.0000,0.0000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-9814,2047.0000,116.0000,PULL STATION,X-5TH FLOOR.dwg,,3:M5-102-0
1,GFX_GROUP-9814,2047.0000,116.0000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-35401,2032.5000,81.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M5-58-0
1,GFX_GROUP-48815,1329.0000,220.0000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-34078,2136.5000,239.5000,SMOKE DETECTOR,X-5TH FLOOR.dwg,,3:M5-62-0
1,GFX_LINKED-48815,1329.0000,220.0000,TAMPER SWITCH,X-5TH FLOOR.dwg,,3:M4-49-0
1,GFX_LINKED-45123,1305.0000,220.0000,WATER FLOW,X-5TH FLOOR.dwg,,3:M4-48-0
1,GFX_GROUP-45123,1305.0000,220.0000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-35395,2087.5000,92.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M5-88-0
1,GFX_GROUP-35395,2087.5000,92.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-34075,2088.5000,121.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-34078,2136.5000,239.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-34075,2088.5000,121.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M5-60-0
1,GFX_LINKED-12986,2450.5000,21.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M5-75-0
1,GFX_GROUP-12986,2450.5000,21.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-12992,2450.5000,101.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-11129,2191.0000,90.0000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-12992,2450.5000,101.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M5-73-0
1,GFX_GROUP-12197,2490.5000,106.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-12950,2488.5000,61.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M5-71-0
1,GFX_LINKED-12197,2490.5000,106.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M5-70-0
1,GFX_LINKED-12983,2450.5000,61.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M5-74-0
1,GFX_GROUP-12983,2450.5000,61.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-11129,2191.0000,90.0000,WATER FLOW,X-5TH FLOOR.dwg,,3:M5-94-0
1,GFX_GROUP-12974,2270.5000,201.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-12959,2310.5000,221.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M5-66-0
1,GFX_LINKED-12974,2270.5000,201.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M5-65-0
1,GFX_LINKED-37943,2214.5000,239.5000,SMOKE DETECTOR,X-5TH FLOOR.dwg,,3:M5-63-0
1,GFX_GROUP-37943,2214.5000,239.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-11132,2554.5000,119.5000,SMOKE DETECTOR,X-5TH FLOOR.dwg,,3:M5-69-0
1,GFX_GROUP-11132,2554.5000,119.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-13004,2554.5000,199.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-12959,2310.5000,221.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-13004,2554.5000,199.5000,SMOKE DETECTOR,X-5TH FLOOR.dwg,,3:M5-68-0
1,GFX_LINKED-28620,2543.5000,-169.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M5-80-0
1,GFX_GROUP-28620,2543.5000,-169.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-28626,2543.5000,-129.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-28650,2269.5000,-269.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-28626,2543.5000,-129.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M5-79-0
1,GFX_GROUP-28584,2543.5000,-289.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-28578,2701.5000,-315.5000,SMOKE DETECTOR,X-5TH FLOOR.dwg,,3:M5-89-0
1,GFX_LINKED-28584,2543.5000,-289.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M5-82-0
1,GFX_LINKED-28614,2543.5000,-209.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M5-81-0
1,GFX_GROUP-28614,2543.5000,-209.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-28650,2269.5000,-269.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M5-84-0
1,GFX_GROUP-28715,2154.0000,-480.0000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-28632,2443.5000,-89.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M5-77-0
1,GFX_GROUP-28689,2154.0000,-480.0000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-19041,2154.0000,-480.0000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-28688,2154.0000,-480.0000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-28644,2309.5000,-269.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M5-83-0
1,GFX_GROUP-28644,2309.5000,-269.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-28638,2443.5000,-29.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-28632,2443.5000,-89.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-28638,2443.5000,-29.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M5-76-0
1,GFX_GROUP-7467,816.5000,-507.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-21914,1189.5000,-500.5000,SMOKE DETECTOR,X-5TH FLOOR.dwg,,3:M4-28-0
1,GFX_LINKED-7467,816.5000,-507.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M4-61-0
1,GFX_LINKED-7473,1216.5000,-507.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M4-60-0
1,GFX_GROUP-7473,1216.5000,-507.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-2486,1409.0000,-739.0000,TAMPER SWITCH,X-5TH FLOOR.dwg,,3:M5-40-0
1,GFX_GROUP-2486,1409.0000,-739.0000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-55648,1384.0000,-739.0000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-21914,1189.5000,-500.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-55648,1384.0000,-739.0000,WATER FLOW,X-5TH FLOOR.dwg,,3:M5-39-0
1,GFX_GROUP-21920,838.5000,-500.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-47718,391.0000,-541.0000,WATER FLOW,X-5TH FLOOR.dwg,,3:M4-44-0
1,GFX_GROUP-47718,391.0000,-541.0000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-28572,2703.5000,-356.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-28578,2701.5000,-315.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-28572,2703.5000,-356.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M5-91-0
1,GFX_GROUP-2339,586.0000,-590.0000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-21920,838.5000,-500.5000,SMOKE DETECTOR,X-5TH FLOOR.dwg,,3:M4-29-0
1,GFX_LINKED-2339,586.0000,-590.0000,PULL STATION,X-5TH FLOOR.dwg,,3:M4-50-0
1,GFX_LINKED-47712,416.0000,-542.0000,TAMPER SWITCH,X-5TH FLOOR.dwg,,3:M4-45-0
1,GFX_GROUP-47712,416.0000,-542.0000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-18108,2154.0000,-480.0000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-44472,1107.5000,-289.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M4-18-0
1,GFX_GROUP-44472,1107.5000,-289.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-34007,969.0000,-205.0000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-33997,969.0000,-229.0000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-34007,969.0000,-205.0000,HIGH  LOW,X-5TH FLOOR.dwg,,3:M4-41-0
1,GFX_GROUP-24201,1647.5000,-144.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-24177,2105.5000,-89.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M5-87-0
1,GFX_LINKED-24201,1647.5000,-144.5000,SMOKE DETECTOR,X-5TH FLOOR.dwg,,3:M5-41-0
1,GFX_LINKED-4563,1207.5000,-284.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M4-23-0
1,GFX_GROUP-4563,1207.5000,-284.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-33997,969.0000,-229.0000,HIGH  LOW,X-5TH FLOOR.dwg,,3:M4-40-0
1,GFX_GROUP-44418,1258.5000,-360.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-44442,1398.5000,-280.5000,SMOKE DETECTOR,X-5TH FLOOR.dwg,,3:M5-25-0
1,GFX_LINKED-44418,1258.5000,-360.5000,SMOKE DETECTOR,X-5TH FLOOR.dwg,,3:M4-26-0
1,GFX_LINKED-12581,1194.5000,-385.5000,SMOKE DETECTOR,X-5TH FLOOR.dwg,,3:M4-54-0
1,GFX_GROUP-12581,1194.5000,-385.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-25283,969.0000,-253.0000,HIGH  LOW,X-5TH FLOOR.dwg,,3:M4-39-0
1,GFX_GROUP-25283,969.0000,-253.0000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-19654,758.5000,-20.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-44442,1398.5000,-280.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-19654,758.5000,-20.5000,SMOKE DETECTOR,X-5TH FLOOR.dwg,,3:M4-14-0
1,GFX_GROUP-24147,1705.5000,-429.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-24156,1665.5000,-460.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M5-47-0
1,GFX_LINKED-24147,1705.5000,-429.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M5-46-0
1,GFX_LINKED-24144,1665.5000,-429.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M5-45-0
1,GFX_GROUP-24144,1665.5000,-429.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-24165,2058.5000,-87.5000,SMOKE DETECTOR,X-5TH FLOOR.dwg,,3:M5-57-0
1,GFX_GROUP-24165,2058.5000,-87.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-24189,1976.5000,-328.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-24156,1665.5000,-460.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-24189,1976.5000,-328.5000,SMOKE DETECTOR,X-5TH FLOOR.dwg,,3:M5-55-0
1,GFX_GROUP-24135,1715.5000,-395.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-24183,2125.5000,-229.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M5-85-0
1,GFX_GROUP-24183,2125.5000,-229.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-24171,2085.5000,-189.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-24177,2105.5000,-89.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-24171,2085.5000,-189.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M5-86-0
1,GFX_GROUP-24129,1665.5000,-395.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-24135,1715.5000,-395.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M5-43-0
1,GFX_LINKED-24129,1665.5000,-395.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M5-42-0
1,GFX_LINKED-24195,1716.5000,-460.5000,SMOKE DETECTOR,X-5TH FLOOR.dwg,,3:M5-44-0
1,GFX_GROUP-24195,1716.5000,-460.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-32791,767.5000,90.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-60543,1292.0000,-333.0000,PULL STATION,X-4TH FLOOR.dwg,,2:M3-57-0
1,GFX_GROUP-60543,1292.0000,-333.0000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_GROUP-25101,727.5000,-62.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_GROUP-25107,747.5000,-42.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_LINKED-25101,727.5000,-62.5000,DUCT DETECTOR,X-4TH FLOOR.dwg,,2:M3-35-0
1,GFX_GROUP-17947,1166.5000,-365.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_LINKED-17941,1213.5000,-409.5000,SMOKE DETECTOR,X-4TH FLOOR.dwg,,2:M3-61-0
1,GFX_LINKED-17947,1166.5000,-365.5000,SMOKE DETECTOR,X-4TH FLOOR.dwg,,2:M3-60-0
1,GFX_LINKED-33409,1235.5000,-285.5000,SMOKE DETECTOR,X-4TH FLOOR.dwg,,2:M3-69-0
1,GFX_GROUP-33409,1235.5000,-285.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_LINKED-25107,747.5000,-42.5000,DUCT DETECTOR,X-4TH FLOOR.dwg,,2:M3-36-0
1,GFX_GROUP-55546,677.5000,-440.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_LINKED-55552,704.5000,-443.5000,DUCT DETECTOR,X-4TH FLOOR.dwg,,2:M3-45-0
1,GFX_LINKED-55546,677.5000,-440.5000,SMOKE DETECTOR,X-4TH FLOOR.dwg,,2:M3-44-0
1,GFX_LINKED-39980,687.5000,-50.5000,SMOKE DETECTOR,X-4TH FLOOR.dwg,,2:M3-37-0
1,GFX_GROUP-39980,687.5000,-50.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_LINKED-55564,674.5000,-466.5000,DUCT DETECTOR,X-4TH FLOOR.dwg,,2:M3-47-0
1,GFX_GROUP-55564,674.5000,-466.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_GROUP-55558,700.5000,-466.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_GROUP-55552,704.5000,-443.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_LINKED-55558,700.5000,-466.5000,DUCT DETECTOR,X-4TH FLOOR.dwg,,2:M3-46-0
1,GFX_GROUP-22147,1536.5000,-240.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_LINKED-23352,1788.5000,-437.5000,DUCT DETECTOR,X-4TH FLOOR.dwg,,2:M3-3-0
1,GFX_LINKED-22147,1536.5000,-240.5000,SMOKE DETECTOR,X-4TH FLOOR.dwg,,2:M3-56-0
1,GFX_LINKED-23334,2058.5000,-196.5000,SMOKE DETECTOR,X-4TH FLOOR.dwg,,2:M3-15-0
1,GFX_GROUP-23334,2058.5000,-196.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_LINKED-23364,1802.5000,-462.5000,DUCT DETECTOR,X-4TH FLOOR.dwg,,2:M3-6-0
1,GFX_GROUP-23364,1802.5000,-462.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_GROUP-23370,1762.5000,-462.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_GROUP-23352,1788.5000,-437.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_LINKED-23370,1762.5000,-462.5000,DUCT DETECTOR,X-4TH FLOOR.dwg,,2:M3-7-0
1,GFX_GROUP-23340,2016.5000,-320.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_LINKED-60555,1398.5000,-280.5000,SMOKE DETECTOR,X-4TH FLOOR.dwg,,2:M3-55-0
1,GFX_GROUP-60555,1398.5000,-280.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_GROUP-60561,1258.5000,-368.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_GROUP-17941,1213.5000,-409.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_LINKED-60561,1258.5000,-368.5000,SMOKE DETECTOR,X-4TH FLOOR.dwg,,2:M3-58-0
1,GFX_GROUP-23358,1756.5000,-437.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_LINKED-23340,2016.5000,-320.5000,SMOKE DETECTOR,X-4TH FLOOR.dwg,,2:M3-13-0
1,GFX_LINKED-23358,1756.5000,-437.5000,SMOKE DETECTOR,X-4TH FLOOR.dwg,,2:M3-2-0
1,GFX_LINKED-7257,1207.5000,-282.5000,DUCT DETECTOR,X-4TH FLOOR.dwg,,2:M3-54-0
1,GFX_GROUP-7257,1207.5000,-282.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_GROUP-39986,646.5000,-49.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_GROUP-12413,2091.5000,119.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_LINKED-15442,2559.5000,199.5000,SMOKE DETECTOR,X-4TH FLOOR.dwg,,2:M3-24-0
1,GFX_LINKED-12413,2091.5000,119.5000,SMOKE DETECTOR,X-4TH FLOOR.dwg,,2:M3-16-0
1,GFX_LINKED-8757,2047.0000,116.0000,PULL STATION,X-4TH FLOOR.dwg,,2:M3-64-0
1,GFX_GROUP-8757,2047.0000,116.0000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_LINKED-15466,2394.5000,144.5000,SMOKE DETECTOR,X-4TH FLOOR.dwg,,2:M3-23-0
1,GFX_GROUP-15466,2394.5000,144.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_GROUP-15448,2559.5000,112.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_GROUP-15442,2559.5000,199.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_LINKED-15448,2559.5000,112.5000,SMOKE DETECTOR,X-4TH FLOOR.dwg,,2:M3-25-0
1,GFX_GROUP-11893,1338.0000,240.0000,BACKGROUND,X-4TH FLOOR.dwg,,
