HANDLE,BLOCKNAME,SMOKE_SENSOR_TYPE,WG,WP,DEVTYPE,POINTTYPE,ELEVATION,ADDRESS,DESCRIPTION,NOTE,NOTES,PID,PID_SECONDARY,WIREDROP,POSITION_X,POSITION_Y,TYPE,RISER,WIRE,PID_PRIMARY,POWRTAG
'15802,*U465,,,,PHOTO,SMOKE,10,N2:M2-116,BSMT ,,,,,10,954.5,269.5,<>,<>,<>,<>,<>
'155D8,*U551,,,,PHOTO,SMOKE,10,N2:M2-115,BSMT ,,,,,10,1552.5,269.5,<>,<>,<>,<>,<>
'153AE,*U550,,,,PHOTO,SMOKE,10,N1:M2-40,BSMT ,,,,,10,280.5,-420.5,<>,<>,<>,<>,<>
'15184,*U549,,,,PHOTO,SMOKE,10,N1:M2-41,BSMT ,,,,,10,360.5,-420.5,<>,<>,<>,<>,<>
'14F5A,*U548,,,,PHOTO,SMOKE,10,N1:M4-81,BSMT ,,,,,10,247.5,-268.5,<>,<>,<>,<>,<>
'14D30,*U547,,,,PHOTO,SMOKE,10,N1:M4-89,BSMT ,,,,,10,247.5,-190.5,<>,<>,<>,<>,<>
'14B06,*U546,,,,PHOTO,SMOKE,10,N1:M2-84,BSMT ,,,,,10,1298.5,-260.5,<>,<>,<>,<>,<>
'148DC,*U545,,,,PHOTO,SMOKE,10,N1:M2-53,BSMT ,,,,,10,1398.5,-360.5,<>,<>,<>,<>,<>
'146B2,*U544,,,,PHOTO,SMOKE,10,N1:M2-65,BSMT ,,,,,10,2494.5,139.5,<>,<>,<>,<>,<>
'14488,*U543,,,,PHOTO,SMOKE,10,N1:M2-64,BSMT ,,,,,10,2494.5,219.5,<>,<>,<>,<>,<>
'1425E,*U542,,,,PHOTO,SMOKE,10,N2:M2-114,BSMT ,,,,,10,1178.5,-680.5,<>,<>,<>,<>,<>
'14034,*U541,,,,PHOTO,SMOKE,10,N1:M2-97,BSMT ,,,,,10,2474.5,-680.5,<>,<>,<>,<>,<>
'13EAA,*U540,,,,PHOTO,SMOKE,10,N1:M2-96,BSMT ,,,,,10,2474.5,-600.5,<>,<>,<>,<>,<>
'1230B,*U354,<>,<>,,PHOTO,LSDUCT,10,N2:M2-111,BSMT ,,,,,10,887.5,190.5,,<>,<>,<>,<>
'12076,*U446,<>,<>,,PHOTO,LSDUCT,10,N2:M2-110,BSMT ,,,,,10,987.5,170.5,,<>,<>,<>,<>
'11DE1,*U445,<>,<>,,PHOTO,LSDUCT,10,N2:M2-112,BSMT ,,,,,10,1047.5,270.5,,<>,<>,<>,<>
'11B4C,*U444,<>,<>,,PHOTO,LSDUCT,10,N2:M2-101,BSMT ,,,,,10,1485.5,270.5,,<>,<>,<>,<>
'118B7,*U443,<>,<>,,PHOTO,LSDUCT,10,N2:M2-113,BSMT ,,,,,10,1147.5,250.5,,<>,<>,<>,<>
'11622,*U442,<>,<>,,PHOTO,LSDUCT,10,N2:M2-104,BSMT ,,,,,10,1545.5,170.5,,<>,<>,<>,<>
'1138D,*U441,<>,<>,,PHOTO,LSDUCT,10,N2:M2-100,BSMT ,,,,,10,1465.5,130.5,,<>,<>,<>,<>
'110F8,*U440,<>,<>,,PHOTO,LSDUCT,10,N1:M2-120,BSMT ,,,,,10,1352.5,-260.5,,<>,<>,<>,<>
'10E63,*U439,<>,<>,,PHOTO,LSDUCT,10,N1:M2-120,BSMT ,,,,,10,1752.5,-337.5,,<>,<>,<>,<>
'10BCE,*U438,<>,<>,,PHOTO,LSDUCT,10,N2:M2-103,BSMT ,,,,,10,1532.5,-698.5,,<>,<>,<>,<>
'1098B,*U437,<>,<>,,PHOTO,LSDUCT,10,N2:M2-102,BSMT ,,,,,10,1672.5,-698.5,,<>,<>,<>,<>
'CEE2,*U318,<>,,,ADRPUL,PULL,4,N1:M2-47,BSMT ,,,<>,,10,662,149,<>,,,,<>
'CC68,*U436,<>,,,ADRPUL,PULL,4,N1:M2-61,BSMT ,,,<>,,10,2038,149,<>,,,,<>
'C9EE,*U435,<>,,,ADRPUL,PULL,4,N1:M2-43,BSMT ,,,<>,,10,142,-291,<>,,,,<>
'C774,*U434,<>,,,ADRPUL,PULL,4,N1:M2-123,BSMT ,,,<>,,10,1360,-331,<>,,,,<>
'C4FA,*U433,<>,,,ADRPUL,PULL,4,N1:M2-68,BSMT ,,,<>,,10,1918,-611,<>,,,,<>
'C280,*U432,<>,,,ADRPUL,PULL,4,N1:M2-70,BSMT ,,,<>,,10,2596,-511,<>,,,,<>
'C006,*U431,<>,,,ADRPUL,PULL,4,N1:M2-69,BSMT ,,,<>,,10,2496,-511,<>,,,,<>
'BD8C,*U430,<>,,,ADRPUL,PULL,4,N1:M2-37,BSMT ,,,<>,,10,661,-621,<>,,,,<>
'A3EF,*U186,<>,<>,,AIM,WF,4,N1:M2-60,BSMT ,,,,,10,1334,270,<>,<>,<>,<>,
'A06A,*U429,<>,<>,,AIM,WF,4,N1:M2-72,BSMT ,,,,,10,2810,-530,<>,<>,<>,<>,
'9EA5,*U286,<>,<>,,AIM,WF,4,N1:M2-46,BSMT ,,,,,10,376,50,<>,<>,<>,<>,
'9B20,*U428,<>,<>,,AIM,WF,4,N1:M2-66,BSMT ,,,,,10,2390,-190,<>,<>,<>,<>,
'979B,*U427,<>,<>,,AIM,WF,4,N1:M2-63,BSMT ,,,,,10,2270,90,<>,<>,<>,<>,
'9416,*U426,<>,<>,,AIM,WF,4,N1:M2-56,BSMT ,,,,,10,1334,-710,<>,<>,<>,<>,
'9091,*U425,<>,<>,,AIM,WF,4,N1:M2-66,BSMT ,,,,,10,2112,-566,<>,<>,<>,<>,
'8D0C,*U424,<>,<>,,AIM,WF,4,N1:M2-38,BSMT ,,,,,10,436,-550,<>,<>,<>,<>,
'8987,*U423,<>,<>,,AIM,SO,4,N1:M2-59,BSMT ,,,,,10,1360,270,<>,<>,<>,<>,
'8602,*U422,<>,<>,,AIM,SO,4,N1:M2-45,BSMT ,,,,,10,406,49,<>,<>,<>,<>,
'827D,*U421,<>,<>,,AIM,SO,4,N1:M2-67,BSMT ,,,,,10,2416,-190,<>,<>,<>,<>,
'7EF8,*U420,<>,<>,,AIM,SO,4,N1:M2-62,BSMT ,,,,,10,2296,90,<>,<>,<>,<>,
'7B73,*U419,<>,<>,,AIM,SO,4,N1:M2-71,BSMT ,,,,,10,2836,-530,<>,<>,<>,<>,
'77EE,*U418,<>,<>,,AIM,SO,4,N1:M2-55,BSMT ,,,,,10,1360,-710,<>,<>,<>,<>,
'7629,*U417,<>,<>,,AIM,SO,4,N1:M2-39,BSMT ,,,,,10,460,-550,<>,<>,<>,<>,
